campaign_id,total_playouts,total_frames,days_active,start_date,end_date,primary_brand,primary_media_owner,has_reach_thousands
17340 - GRPO00034483,470,17,1,2025-10-07 06:00:00,2025-10-07 06:15:00,Brand not provided at point of trade,JCDecaux,0.000
17341 - GRPO00034318/19/GRPO00034398,89,2,1,2025-10-07 06:00:00,2025-10-07 06:15:00,Brand not provided at point of trade,JCDecaux,0.000
18752 - GRPO00032657,12,1,1,2025-10-07 06:00:00,2025-10-07 06:15:00,Zinsser Paints,JCDecaux,0.000
18856 - GRPO00032443,64,3,1,2025-10-07 06:00:00,2025-10-07 06:15:00,Brand not provided at point of trade,JCDecaux,0.000
18977 - GRPO00032674,16,1,1,2025-10-07 06:00:00,2025-10-07 06:15:00,Waitrose,JCDecaux,0
19220 - GRPO00033408,28,2,1,2025-10-07 06:00:00,2025-10-07 06:15:00,Croydon College,JCDecaux,0
18856			,227951,13,14,2025-09-30 06:30:00,2025-10-13 13:00:00,Brand not provided at point of trade,JCDecaux,535.647
165529,4,2,1,2025-09-23 06:15:00,2025-09-23 06:15:00,Intrepid Travel,JCDecaux,0.209
16850 - GRPO00031940,3,1,1,2025-09-23 06:15:00,2025-09-23 06:15:00,ProperCorn,JCDecaux,0.007
18268 - GRPO00031955,64,30,1,2025-09-23 06:00:00,2025-09-23 06:15:00,Brand not provided at point of trade,JCDecaux,2.237
18635 - GRPO00033319,3,1,1,2025-09-23 06:00:00,2025-09-23 06:15:00,McArthurGlen,JCDecaux,0.000
18640 - GRPO00030448,23,1,1,2025-09-23 06:00:00,2025-09-23 06:15:00,Vets4Pets,JCDecaux,0.003
19191,72010,4,21,2025-09-23 04:00:00,2025-10-13 12:45:00,Brand not provided at point of trade,JCDecaux,0
18462,1199,1,2,2025-08-30 08:00:00,2025-08-31 16:45:00,JD Sports Fashion,Bauer Media Outdoor,0
18846			,657688,43,15,2025-08-28 04:00:00,2025-09-12 22:45:00,Flight Centre,JCDecaux,0.000
17859,13059,1,21,2025-08-19 09:00:00,2025-10-13 10:15:00,JD Sports Fashion,Bauer Media Outdoor,0
