campaign_id,total_playouts,total_frames,days_active,start_date,end_date,primary_brand,primary_media_owner,has_impacts_thousands
18899,3380802,513,7,2025-09-29 04:00:00,2025-10-05 22:45:00,Brand not provided at point of trade,JCDecaux,19831.2140077088
18632,9771015,902,16,2025-09-28 23:00:00,2025-10-13 13:00:00,ChatGPT,Ocean Outdoor,27050.7109398922
16882,6890521,997,21,2025-09-20 05:00:00,2025-10-10 22:45:00,McDonald's Restaurants,Ocean Outdoor,12409.0518697645
17945,6371945,256,28,2025-09-16 23:00:00,2025-10-13 13:00:00,Habitat Retail,Global,17622.0346624362
18897,1262010,508,7,2025-09-15 04:00:00,2025-09-21 22:45:00,British Gas,JCDecaux,4273.7992240617
19050,5862752,416,30,2025-09-14 23:00:00,2025-10-13 10:15:00,Age UK,Global,13554.8533719378
18428,3800773,400,28,2025-09-14 23:00:00,2025-10-13 13:00:00,Argos,Ocean Outdoor,10731.7706639500
16703,4822783,402,14,2025-09-08 04:00:00,2025-09-21 23:45:00,Lipton,Bauer Media Outdoor,1434.5224573818
18895,6769451,816,7,2025-09-01 04:00:00,2025-09-07 22:45:00,Brand not provided at point of trade,JCDecaux,22219.6985034956
18871,2589601,549,7,2025-09-01 04:00:00,2025-09-07 22:45:00,British Gas,JCDecaux,6496.1716870900
18098,9832823,170,28,2025-08-25 04:00:00,2025-09-21 22:45:00,Brand not provided at point of trade,JCDecaux,39351.4287525783
16877,7739114,975,15,2025-08-24 23:00:00,2025-09-07 22:45:00,McDonald's Restaurants,Global,18357.1472100894
17921,6312915,246,15,2025-08-24 23:00:00,2025-09-07 22:45:00,Channel Four,Global,20625.1498687347
16699,9226157,452,15,2025-08-24 23:00:00,2025-09-07 22:45:00,Channel Four,Global,21526.0955534397
17932,4199886,393,21,2025-08-18 11:30:00,2025-09-07 22:45:00,Brand not provided at point of trade,Bauer Media Outdoor,56672.9410035477
17920,9478856,438,15,2025-08-17 22:00:00,2025-08-31 22:45:00,Channel Four,Global,37570.5144812017
17844,9363441,358,22,2025-08-17 17:15:00,2025-09-07 22:45:00,7 Up,JCDecaux,40717.6124406605
18070,8070608,257,32,2025-08-14 15:15:00,2025-09-14 22:45:00,E.ON,Bauer Media Outdoor,48216.3565006840
16026,9950024,749,38,2025-08-13 10:45:00,2025-10-13 13:00:00,Brand not provided at point of trade,Global,5199.6276082312
17618,7116997,620,25,2025-08-12 22:00:00,2025-09-07 22:45:00,Pepsi Max,JCDecaux,14686.5540646747
